gesture@mel1952m	@mel1952m	137.104	140.726	Выдвигает обе руки вперед с согнутыми пальцами и ладонями к верху
gesture@mel1952m	@mel1952m	141.506	145.01	Круговые движения обеими руками на уровне груди
gesture@mel1952m	@mel1952m	145.059	148.308	Указывает правой рукой на собеседника
gesture@mel1952m	@mel1952m	148.503	154.456	Вращение кистью правой руки на уровне груди перед собой
gesture@mel1952m	@mel1952m	154.495	162.485	Изобразительный жест с согнутыми пальцами на уровне груди
gesture@mel1952m	@mel1952m	175.492	180.705	Круговые движения указательными пальцами на уровне груди
gesture@mel1952m	@mel1952m	180.849	182.008	Разрубает воздух обеими руками со слабой интенсивностью на уровне груди
gesture@mel1952m	@mel1952m	182.135	182.868	Разрубает воздух обеими руками с согнутыми пальцами и ладонями к верху на уровне живота
gesture@mel1952m	@mel1952m	183.167	184.596	Круговые движения кистями на уровне груди
gesture@mel1952m	@mel1952m	185.501	189.505	Разрубает воздух обеими руками с согнутыми пальцами и ладонями к верху на уровне груди
gesture@mel1952m	@mel1952m	190.008	191.334	Вращение кистями на уровне живота
gesture@mel1952m	@mel1952m	247.225	247.868	Раскрывает ладони
gesture@mel1952m	@mel1952m	256.501	257.42	Скрещивает руки на груди
gesture@mel1952m	@mel1952m	275.008	285.266	Круговые движения кистью правой руки на уровне плеч
gesture@mel1952m	@mel1952m	286.506	290.166	Движения руками в разные стороны на уровне живота
gesture@mel1952m	@mel1952m	290.329	293.03	Круговое движение обеими руками на уровне живота
gesture@mel1952m	@mel1952m	293.152	296.899	Жест перечисления на пальцах на уровне груди
gesture@mel1952m	@mel1952m	297.012	299.008	Беспорядочные движения обеими руками на уровне плеч
gesture@mel1952m	@mel1952m	299.058	299.361	Разводит руки в стороны на уровне груди
gesture@mel1952m	@mel1952m	299.411	300.035	Указательный жест обеими руками на собеседника
gesture@mel1952m	@mel1952m	301.519	303.786	Вращение кистью с поднятой над головой правой рукой
gesture@mel1952m	@mel1952m	303.804	305.664	Вращение кистью на уровне груди с опущенной правой рукой
gesture@mel1952m	@mel1952m	305.713	306.005	Пожимает плечами
gesture@evp1982m	@evp1982m	14.51	16.363	Подводит левую и правую ладонь к подбородку с поднятыми указательным и большим пальцем вверх 
gesture@evp1982m	@evp1982m	16.463	18.415	Ладони в замке у живота, вперед к собеседнику
gesture@evp1982m	@evp1982m	19.718	20.824	Правой рукой поправляет борт пиджака
gesture@evp1982m	@evp1982m	21.008	21.627	Поднимает обе руки вверх на уровне плеч по высоте внутренней частью ладоней к собеседнику
gesture@evp1982m	@evp1982m	21.709	22.61	Правую руку кладет на ногу, слабый взмах левой рукой по направлению к собесебнику ладонью к верху
gesture@evp1982m	@evp1982m	22.761	23.614	Заводящее движение кистью на уровне головык себе с согнутыми пальцыми кроме большого полнятого вверх
gesture@evp1982m	@evp1982m	23.653	24.255	Поднимает обе руки вверх на уровне плеч пальцами к верху
gesture@evp1982m	@evp1982m	24.271	24.509	вращательное движение кистями к себе указывая пальцами на себя на уровне плеч
gesture@evp1982m	@evp1982m	24.558	27.618	Вращение кистями от себя на уровне плеч
gesture@evp1982m	@evp1982m	37.761	39.411	Разрубает воздух обеими кистями с согнутыми пальцами на уровне живота
